Household_number,Date_of_occupancy,Ownership,Mortgage_Or_Rent,Dwelling_type,House_value_in_K,House_hold_size,Household_income_in_K,House_size,No_of_vehicles,ZIP,LAT,LNG
H15551,1992-01-25,false,2484.260095643576,Apartments,177.4490537995807,3,114.19711674073004,817.8868058506918,2,19106,39.948629,-75.142789
H15555,2003-11-02,false,2490.5184259989123,Apartments,276.2067020540152,2,129.961514770346,548.4511071546175,1,19103,39.952896,-75.174298
H15559,1992-02-28,false,2487.5794108499886,Single Family,317.44727327450295,5,60.96757055180801,1823.506575363051,2,07093,40.788079,-74.011357
H15567,2011-07-03,false,2491.280092339801,Single Family,698.5036804327103,5,157.1479115599434,2176.4310911127454,0,06467,41.567845,-72.899757
H15575,1995-11-18,false,2493.751795964294,Apartments,311.0078958215371,2,44.844944696898345,485.54760379294936,1,19102,39.952783,-75.165586
H15579,2002-11-25,false,2468.9183094935465,Apartments,274.6774810798564,3,40.67647587202324,885.6956048311506,3,11213,40.671078,-73.936336
H15580,1990-07-07,false,2478.0137225780245,Apartments,776.5592818952166,3,100.34635207002226,1071.6837514937579,2,19102,39.952783,-75.165586
H15583,2007-02-09,false,2487.8224286542268,Single Family,210.83249935828024,5,122.77491682781667,1824.6379306339004,2,19106,39.948629,-75.142789
H15591,2018-01-07,false,2461.758418836337,Single Family,265.22294288947415,4,175.2160939941311,1708.8249888259932,2,07093,40.788079,-74.011357
H15599,1989-08-27,false,2466.758139829576,Single Family,798.4049871402439,5,91.46627898505037,2103.4397547117833,1,11104,40.744634,-73.920201
H15608,2005-02-07,false,2447.080701438437,Apartments,775.7179430941213,4,66.09276199986694,1241.413138820072,0,07620,40.968725,-73.916999
H15615,2008-09-07,false,2452.8028253399752,Apartments,547.3884522858941,3,70.70313024956224,1043.6658247795897,4,02129,42.379657,-71.061487
H15623,1989-12-18,false,2454.5153332345963,Apartments,523.3366612645971,3,97.97011056890207,1126.3001150019618,1,06001,41.787159,-72.852046
H15632,2012-04-13,false,2469.356089063745,Single Family,212.49487177706388,7,44.4063562844072,2995.5494801783384,2,02126,42.274227,-71.097423
H15639,1999-02-05,false,2490.300241908208,Apartments,269.74336402473534,3,86.83192590439772,1213.9196966362351,4,07093,40.788079,-74.011357
H15642,1989-01-24,false,2476.1075253562776,Apartments,767.5511497715121,3,80.3542252099148,829.7566819112535,1,07093,40.788079,-74.011357
H15651,1998-06-19,false,2462.388182387462,Single Family,273.76163771421113,5,48.01742237542116,1978.4948370445973,3,06479,41.57477,-72.9119
H15655,1994-09-08,false,2464.64402825087,Apartments,358.4212848911269,3,179.47308299216266,785.5048354288213,4,06002,41.84493,-72.740951
H15658,1996-02-05,true,2473.5584807281757,Apartments,775.1890252835717,2,177.35262445183017,472.40256546514684,4,07093,40.788079,-74.011357
H15661,1997-01-05,false,2460.503179427304,Apartments,503.5380436218318,4,57.63672095064117,1349.6860835203815,3,06467,41.567845,-72.899757
H15664,2008-01-28,false,2476.4089096935163,Single Family,306.74525792833845,7,92.69417966389656,2822.553684370884,0,06001,41.787159,-72.852046
H15665,1995-09-10,true,2452.4859371813973,Apartments,188.8438912011926,3,85.14240090856995,1132.720442345923,1,07608,40.852997,-74.060355
H15671,2018-11-03,false,2489.0863614369173,Single Family,243.84362606103707,6,126.1195214493919,2349.336993837068,1,11214,40.599148,-73.99609
H15676,2006-04-11,false,2483.0379465763863,Single Family,616.4069588887805,5,59.79427509843164,1779.1953120286632,2,06001,41.787159,-72.852046
H15681,2014-07-19,false,2469.8749746195303,Single Family,597.1163943139995,5,84.67180290420612,2207.016062389205,1,11213,40.671078,-73.936336
H15689,1997-05-03,false,2474.1375551834376,Single Family,310.9696988261142,6,137.07630525487258,2277.7454638682216,2,11213,40.671078,-73.936336
H15690,2007-07-05,false,2472.7401888966574,Apartments,457.7509106807378,3,136.95550547690192,937.7446545589269,3,19106,39.948629,-75.142789
H15695,2002-01-09,true,2453.198996447315,Apartments,572.189719927025,3,58.46431413480106,765.229491787405,1,06479,41.57477,-72.9119
H15703,2001-05-13,false,2450.419965868041,Apartments,786.2526809817796,2,150.37062913586703,639.9584816329229,1,07087,40.767383,-74.032328
H15704,2001-11-15,false,2473.871845549806,Single Family,202.7759834469244,7,105.12868391289513,2920.0613196816967,3,02128,42.361129,-71.006975
H15706,2009-03-29,false,2494.267042250355,Apartments,724.3765755677244,3,91.77713268530223,874.7848641621085,3,07608,40.852997,-74.060355
H15712,2013-09-26,false,2483.167311163389,Apartments,710.2491936807763,4,124.37424722553523,1475.890832136388,2,07093,40.788079,-74.011357
H15720,1991-05-29,false,2475.9094105154013,Apartments,314.6149761128063,4,77.5697548905082,1566.3570552371746,2,19102,39.952783,-75.165586
H15727,2014-05-27,false,2478.061383258339,Apartments,440.7518743599047,4,78.30138213898911,1266.8721634560147,1,06467,41.567845,-72.899757
H15733,1988-07-04,false,2468.607136430847,Apartments,393.8378640927283,3,165.70481685032627,972.184580571386,1,07620,40.968725,-73.916999
H15738,2006-09-04,false,2469.1753379398783,Single Family,308.4962427145075,6,135.64259145124038,2374.0352690753252,1,07093,40.788079,-74.011357
H15743,2008-01-22,false,2474.044631504958,Single Family,310.80979841147854,4,35.109405940854614,1657.7748318469905,3,19104,39.95852,-75.198857
H15746,2009-08-30,false,2483.4458574728073,Single Family,449.81302201146,6,76.21205255621007,2578.150120051341,0,19102,39.952783,-75.165586
H15751,2005-11-23,false,2476.4979497871673,Single Family,467.30352858661524,5,136.08898781078852,1863.8723451288713,4,11214,40.599148,-73.99609
H15760,2012-11-23,false,2494.1795948744507,Apartments,492.80305776333665,4,77.22364297399218,1589.6535244141623,2,06001,41.787159,-72.852046
H15769,2018-08-30,false,2463.3699973267007,Single Family,264.1612382260001,4,105.06740674145242,1659.4228239302897,4,06467,41.567845,-72.899757
H15770,2002-07-02,false,2496.2556296104094,Single Family,555.6969446822424,6,109.09728567201444,2412.2473584964264,1,02128,42.361129,-71.006975
H15779,2015-01-01,false,2471.15607471685,Single Family,691.7707220793329,6,107.99455324711302,2716.7191814715943,4,02129,42.379657,-71.061487
H15780,1997-03-12,false,2484.4564855366534,Apartments,215.8060653885968,3,126.63675532585525,972.5695649622199,1,07620,40.968725,-73.916999
H15788,2018-07-08,false,2492.562716433089,Single Family,245.20018177209104,4,113.55800335333495,1686.2738988719584,2,11103,40.762574,-73.913447
H15793,2010-03-23,false,2472.95398515434,Single Family,487.45670434175696,6,161.36759661719597,2347.630929514462,1,06001,41.787159,-72.852046
H15795,2009-09-21,false,2492.4134189717056,Single Family,541.4300804754229,6,70.46809175557357,2355.514103601486,1,02129,42.379657,-71.061487
H15800,1989-12-05,false,2476.1664179640748,Apartments,618.3038606499135,3,100.75526926816285,730.578090454699,0,11104,40.744634,-73.920201
H15808,2012-10-10,false,2473.480240089133,Apartments,242.31233441904226,4,145.349119036657,1261.2273400207496,1,19104,39.95852,-75.198857
H15811,1991-12-23,false,2477.7536198387834,Single Family,567.6357560656426,6,46.25536742747013,2519.71997969801,2,19102,39.952783,-75.165586
H15820,2013-09-15,false,2469.4886671449835,Single Family,369.74150467852525,4,145.47578942570362,1688.2141547572714,1,07087,40.767383,-74.032328
H15829,2007-12-19,false,2488.749306069956,Apartments,584.6251204937236,4,35.09497200735716,1498.9098824709463,0,06001,41.787159,-72.852046
H15836,1990-02-03,false,2464.6864832140386,Apartments,178.02506475283576,2,124.82319094274978,544.3277931061307,3,02129,42.379657,-71.061487
H15839,2009-02-17,false,2492.194737717762,Apartments,390.3294707891672,4,136.1524263930903,1217.4235532986854,2,02128,42.361129,-71.006975
H15845,2007-01-24,false,2479.4907754550504,Apartments,279.16042076636455,4,49.744810069464144,1232.108379421451,3,19102,39.952783,-75.165586
H15851,1994-12-31,false,2465.9535609360682,Apartments,461.6661618999174,4,140.73839239447352,1244.8762506790586,3,19104,39.95852,-75.198857
H15857,2006-08-05,false,2468.0084573272607,Single Family,480.0592252670827,5,176.41713802747773,2212.735528135541,2,07087,40.767383,-74.032328
H15861,1996-09-02,false,2462.084256792657,Single Family,322.6166285689993,6,104.82090224172353,2381.7781296761345,3,19106,39.948629,-75.142789
H15869,1988-10-04,false,2484.9638575057133,Single Family,772.1781900551424,6,93.86675534119172,2385.821670980421,3,11103,40.762574,-73.913447
H15875,2015-08-24,false,2463.2449724264075,Single Family,479.77949854930347,5,154.75873587793382,1786.6878520737594,1,11214,40.599148,-73.99609
H15877,2011-08-26,true,2462.453446165377,Single Family,585.32345386323,6,106.56860615843273,2516.5256580135133,2,19102,39.952783,-75.165586
H15886,1996-04-02,false,2477.6204518557834,Single Family,547.7792423564827,5,118.77912457470374,1889.0746533506865,0,02127,42.334992,-71.039093
H15895,1991-05-22,true,2483.6781230730585,Single Family,392.96969562485026,7,172.92914035175966,2866.0602030855125,1,19104,39.95852,-75.198857
H15897,2008-10-10,true,2464.793584110772,Apartments,392.33244298615296,4,92.76601207999772,1497.7790169126329,2,02127,42.334992,-71.039093
H15901,1999-06-30,false,2483.939925356361,Apartments,199.48658748878603,4,51.36841343537317,1455.462542672416,1,06467,41.567845,-72.899757
H15907,2006-06-08,false,2469.982836669625,Single Family,599.319482024947,6,125.81379781149937,2633.042738451249,1,02127,42.334992,-71.039093
H15916,1988-11-10,false,2446.4177826371106,Single Family,718.4779965144317,5,133.6292252899865,1931.6608878657914,2,07087,40.767383,-74.032328
H15923,1995-05-20,false,2485.8806056213784,Single Family,364.5486562770528,6,101.98803208410996,2527.4882602360135,3,11214,40.599148,-73.99609
H15926,1992-11-12,true,2493.2190502348762,Single Family,520.6282036655754,7,174.57335571262374,2796.65165349261,3,19103,39.952896,-75.174298
H15935,2007-08-27,false,2465.6971051625806,Apartments,663.0297896629633,3,53.7502983436559,845.024780154791,3,19102,39.952783,-75.165586
H15940,1989-09-02,false,2481.0942021891206,Single Family,711.2076703818394,7,129.29434817464062,2750.8587085139206,1,07620,40.968725,-73.916999
H15948,1988-11-18,false,2482.0037430292055,Apartments,191.19575958738324,3,130.1201471992312,1145.6571357357054,1,07093,40.788079,-74.011357
H15952,2002-04-19,false,2485.5243043478613,Apartments,587.7375934566656,3,69.36873657150662,932.414107248155,2,11103,40.762574,-73.913447
H15957,2013-12-26,false,2450.235382509347,Single Family,600.2755041165074,6,172.32485681569898,2357.6257564292073,0,06001,41.787159,-72.852046
H15959,2003-12-08,false,2473.1406884746984,Single Family,603.347369638851,4,61.48380215985179,1680.7206277917217,2,11103,40.762574,-73.913447
H15963,1992-10-02,true,2476.0436026993198,Apartments,756.7887105364199,3,174.03020965432592,862.6030058534722,2,02128,42.361129,-71.006975
H15968,1997-12-31,false,2463.768573227054,Single Family,558.5084801544958,5,94.28673443873419,2161.860079679668,3,02127,42.334992,-71.039093
H15970,2008-11-05,false,2457.408974976875,Apartments,544.208883157354,3,70.2456391318851,976.0639201051525,1,07093,40.788079,-74.011357
H15973,2000-06-03,false,2430.5445839419594,Single Family,768.0971797724034,6,54.87958881691797,2620.421171247917,0,19106,39.948629,-75.142789
H15981,2013-08-28,false,2466.1741218188263,Single Family,771.2410435445596,4,113.28901637663878,1637.0082477199942,2,11214,40.599148,-73.99609
H15983,2007-03-12,false,2455.1974950896715,Apartments,305.9594699361215,4,153.984383428559,1418.4557681011029,0,06001,41.787159,-72.852046
H15990,2016-10-19,false,2480.4267625967655,Single Family,541.8492695933151,5,138.3039744239802,1972.3766698371949,3,07620,40.968725,-73.916999
H15991,2013-10-21,false,2488.2936541180525,Single Family,324.23702364642884,7,130.98681020019154,2822.446644733182,4,02129,42.379657,-71.061487
H15996,1999-03-14,false,2476.2809035217656,Apartments,718.315348672436,3,76.41147564925016,1162.5381354657925,3,07620,40.968725,-73.916999
H16000,1990-09-15,false,2468.8490753969104,Apartments,749.8998764024556,3,54.16429732162578,959.3845281901113,4,06001,41.787159,-72.852046
H16006,2007-09-15,false,2474.6531824881135,Single Family,433.83619998591934,6,102.70288073830805,2710.7495191456096,1,06001,41.787159,-72.852046
H16014,2003-08-22,false,2431.0101925060194,Apartments,389.0403529271474,3,175.7592166094215,1197.913296081988,4,02127,42.334992,-71.039093
H16017,2000-05-24,false,2468.3890864712016,Single Family,268.7994093978827,6,102.64009020145835,2669.4585952008315,2,02128,42.361129,-71.006975
H16023,2000-12-20,false,2473.518538149198,Apartments,557.1556915543293,2,81.78135718782013,530.6957683187128,1,06001,41.787159,-72.852046
H16024,2010-03-20,false,2472.9502423925633,Single Family,605.1904827763403,6,110.60670645075905,2347.5403351311115,1,02129,42.379657,-71.061487
H16033,2017-11-21,false,2477.519564684151,Apartments,442.6103138914869,4,61.641406555537614,1283.9735983906785,1,07087,40.767383,-74.032328
H16039,1996-06-01,false,2487.0142037068567,Apartments,760.0657206705328,2,104.07991494900436,690.1729155854292,2,02128,42.361129,-71.006975
H16045,2010-02-03,false,2489.7007175528415,Apartments,378.772562162045,2,171.82037185071627,625.1163993849841,3,06479,41.57477,-72.9119
H16052,2004-01-29,false,2495.7732537412335,Single Family,654.6030863227577,4,97.28408376903468,1627.0600789377215,2,07093,40.788079,-74.011357
H16053,2007-02-17,false,2467.2818360708125,Single Family,693.596142658546,4,40.67638268205906,1702.758061487063,0,06002,41.84493,-72.740951
H16059,2018-10-29,false,2465.3985897333996,Apartments,728.5601673395236,3,117.00280649393457,1067.4287546464338,2,11214,40.599148,-73.99609
H16065,1998-01-19,false,2454.415617035254,Apartments,643.1203874316627,2,50.35248069291705,506.96800716651137,0,02129,42.379657,-71.061487
H16067,2005-09-12,false,2495.734058350754,Single Family,791.6122011786582,7,71.11562666811352,2963.849784355084,2,07608,40.852997,-74.060355
H16075,2013-12-24,false,2448.5300675045105,Single Family,517.033135937808,7,82.26562173610796,2982.4628126772263,3,19104,39.95852,-75.198857
H16080,2000-03-11,false,2488.6631003602943,Single Family,526.8091465024658,7,37.178962428329996,2830.969074025542,0,19102,39.952783,-75.165586
H16089,1999-08-28,false,2474.512413057014,Apartments,215.93849405670403,3,70.28220209897319,790.888627722217,3,07620,40.968725,-73.916999
H16092,1998-06-24,true,2480.962288459276,Apartments,505.52609003345736,3,134.1686338550112,764.0580772823103,2,19102,39.952783,-75.165586
H16101,2008-02-02,false,2474.138314073456,Apartments,469.7422625041668,4,66.88864344017443,1382.0428158210211,1,19102,39.952783,-75.165586
H16106,1997-10-15,false,2469.6215637694245,Single Family,511.7349859748131,5,72.16497611517411,1732.6108272953095,2,11104,40.744634,-73.920201
H16111,2014-10-29,false,2471.732728843799,Apartments,721.8809794582457,4,41.182384718209484,1378.0009503270194,2,07608,40.852997,-74.060355
H16120,2016-11-20,false,2467.669989670817,Single Family,757.102707734573,6,172.00281886851397,2542.5773209516287,2,06467,41.567845,-72.899757
H16127,2015-03-12,false,2462.1993648625444,Single Family,577.3238376726308,5,80.58990577803111,2061.5067912411805,2,07087,40.767383,-74.032328
H16133,2006-07-17,false,2451.8016229984314,Apartments,531.4258224499868,4,38.58016406282133,1561.1282756140579,0,07087,40.767383,-74.032328
H16135,1994-05-18,false,2488.4621625733353,Apartments,622.0483614172824,3,42.8808710969887,1074.8011887132711,3,19106,39.948629,-75.142789
H16139,2018-10-04,true,2489.384336974046,Apartments,248.8064043888742,2,121.86436756915225,588.8352140601036,3,11104,40.744634,-73.920201
H16140,2008-06-02,false,2451.108466853407,Single Family,529.2849632799669,7,39.32316651589088,2920.0363437142864,2,07620,40.968725,-73.916999
H16148,1999-01-04,false,2494.018591557798,Single Family,213.01865992624775,6,144.53670641082317,2506.9063171365265,3,07608,40.852997,-74.060355
H16154,2005-04-05,false,2473.507156164999,Single Family,508.32470981073607,4,94.01064150287647,1696.3584043546202,4,06002,41.84493,-72.740951
H16160,1992-09-08,false,2439.0367130846034,Apartments,731.9280990122244,3,98.44998376990895,1122.5676909960139,0,02129,42.379657,-71.061487
H16169,1997-12-22,false,2481.01262900613,Apartments,615.2511024042986,2,72.30692807880195,534.0615102001785,4,11104,40.744634,-73.920201
H16176,2000-03-20,false,2465.968728130043,Apartments,490.0234296396008,4,46.55423906365469,1312.0969331254887,4,11214,40.599148,-73.99609
H16180,2017-04-28,false,2474.272634303832,Single Family,258.0790755353021,5,141.56416157550564,1986.4236785745366,3,06001,41.787159,-72.852046
H16188,1996-12-13,false,2491.095748483366,Single Family,183.97725411541109,4,60.9782405051897,1611.5139814035547,3,19103,39.952896,-75.174298
H16196,2012-08-21,false,2473.946823062798,Apartments,685.5298224548299,4,114.38924679906059,1517.0267565646918,4,06001,41.787159,-72.852046
H16202,2001-11-16,false,2479.3535717741834,Single Family,653.2412283529566,5,101.48576282767466,2124.972490884515,1,19104,39.95852,-75.198857
H16204,2016-12-28,false,2494.3631215718656,Apartments,316.93472694597347,4,165.60315527910936,1572.7378501640776,1,11213,40.671078,-73.936336
H16205,1998-01-19,false,2444.5053690463224,Apartments,412.53236108989023,2,129.3925160770978,645.7761743788138,4,11104,40.744634,-73.920201
H16211,1997-01-27,false,2487.8686256069245,Apartments,623.5184244537147,2,164.04622818691396,491.8674037670607,1,02129,42.379657,-71.061487
H16216,2010-06-23,false,2458.3795649684184,Single Family,715.4107959787584,5,137.2092612182573,1877.3165898084778,3,02127,42.334992,-71.039093
H16220,2008-01-01,false,2468.272528318015,Single Family,317.8625472395138,6,84.66650920792706,2566.2110651195294,0,19104,39.95852,-75.198857
H16225,1989-06-23,false,2495.7741162789334,Single Family,337.17110838487395,5,171.13791146793446,1728.5785023684882,3,06001,41.787159,-72.852046
H16229,1994-02-22,false,2485.259278689271,Apartments,400.576805804851,4,56.04575278386708,1516.1906525976915,0,11104,40.744634,-73.920201
H16236,1990-09-17,false,2491.0260799642897,Single Family,420.85577369142845,5,91.09831354983218,2021.0258220567616,3,11103,40.762574,-73.913447
H16238,2013-07-13,false,2482.719578357259,Apartments,376.811783478685,3,167.09195663368786,857.7128378270917,1,07620,40.968725,-73.916999
H16246,2003-07-09,true,2480.7194646712223,Single Family,369.1923404038533,5,163.10397237353985,1750.3356278969604,4,02129,42.379657,-71.061487
H16254,2002-12-16,false,2480.242611328247,Single Family,746.0232515977555,6,105.99637370282719,2678.819663964414,0,11103,40.762574,-73.913447
H16255,1989-05-25,false,2462.4283721775364,Apartments,682.6984448776261,3,162.57488834861357,1044.618043390628,1,19106,39.948629,-75.142789
H16259,2006-04-17,false,2424.364187827379,Apartments,603.4566490422571,2,161.42120302450869,665.9689839231512,4,19103,39.952896,-75.174298
H16264,1991-03-25,true,2460.4600101747565,Single Family,699.5889802043149,4,66.00571233422204,1612.308427828863,1,02129,42.379657,-71.061487
H16268,1993-01-27,true,2490.4254369411938,Single Family,555.853086651601,6,152.9711888273459,2344.7050653904193,2,19102,39.952783,-75.165586
H16271,2007-11-13,false,2489.73977540229,Apartments,591.6565116483737,4,55.36890531114774,1442.0517767275796,3,11103,40.762574,-73.913447
H16279,1996-07-26,false,2476.64995140086,Apartments,755.4070801381075,4,85.29359777775518,1244.5048525098882,0,11214,40.599148,-73.99609
H16287,2005-09-17,false,2486.7845290070495,Single Family,669.1342927724003,7,115.68735753992101,2757.675343776263,4,19103,39.952896,-75.174298
H16292,2002-01-01,false,2469.2719457057156,Single Family,633.6290480023774,6,161.14732304129626,2513.249587064775,4,19104,39.95852,-75.198857
H16296,2001-05-28,false,2492.379942884449,Single Family,287.04541012081893,5,51.461597427762,1975.157770921252,2,11214,40.599148,-73.99609
H16304,1993-06-10,false,2485.391199319055,Single Family,795.4089437807659,6,156.74998604943158,2414.7038233499334,2,07608,40.852997,-74.060355
H16305,2016-06-02,false,2487.739674358399,Apartments,230.50361764651757,4,112.57633756187334,1501.5890448520913,2,07087,40.767383,-74.032328
H16306,2005-11-28,false,2475.2676823877814,Apartments,205.74656083658826,4,51.93399679687316,1272.812893302429,1,11103,40.762574,-73.913447
H16312,1992-03-29,false,2499.417192853866,Apartments,662.3717019858694,4,42.07362279289936,1257.0675861713135,0,11104,40.744634,-73.920201
H16313,2006-08-30,false,2466.3229832154416,Apartments,633.6421834821758,4,129.66626207370877,1305.8708308435623,1,19106,39.948629,-75.142789
H16321,1995-03-19,false,2476.251595449398,Single Family,321.06930148850086,6,61.7895866339112,2377.716002572446,1,19103,39.952896,-75.174298
H16325,2016-02-23,false,2490.934209856108,Apartments,380.9388316346917,3,124.37558763316946,781.5768849908623,3,02126,42.274227,-71.097423
H16326,2001-01-26,false,2451.912776142929,Single Family,719.8218755330731,7,166.47374083109128,2787.29537530404,1,06002,41.84493,-72.740951
H16332,1999-11-19,false,2476.9323458451117,Single Family,426.214192415251,5,171.11523135880486,2151.6939534785506,2,19103,39.952896,-75.174298
H16341,2004-07-06,false,2477.7490456109376,Apartments,496.3788324116967,4,172.1996980582553,1436.8711392914533,2,07608,40.852997,-74.060355
H16344,2014-04-09,false,2468.859727580659,Single Family,455.45372434405175,6,43.710779461884904,2482.0526257493248,4,11104,40.744634,-73.920201
H16349,1994-10-07,false,2464.8343272551065,Single Family,515.0259492201501,5,101.83032405712744,1889.5887268896624,2,19104,39.95852,-75.198857
H16355,1989-09-30,false,2483.6518339592812,Single Family,206.34175179848688,5,157.81576652834164,2165.6922125346823,1,11103,40.762574,-73.913447
H16358,2013-05-15,false,2455.9329819527184,Apartments,678.3544292936358,2,118.10559206046655,643.6629190093633,2,19104,39.95852,-75.198857
H16364,2015-04-30,false,2451.8741332345376,Apartments,575.8080532928783,3,175.84493777105303,963.2944093281556,4,07620,40.968725,-73.916999
H16370,1997-06-20,false,2462.6172581192723,Single Family,795.707191097925,6,131.80540611067443,2541.3100999078088,3,11214,40.599148,-73.99609
H16372,1992-08-05,false,2479.897227776052,Single Family,596.5161996258362,5,141.46980663843087,1846.1180834747595,1,06467,41.567845,-72.899757
H16376,1994-01-10,false,2485.1953769919337,Single Family,598.93677581768,6,92.02035008949997,2319.5542408275633,1,19102,39.952783,-75.165586
H16381,2007-04-28,false,2485.323348055969,Single Family,260.4048843205945,5,94.15008531188965,2171.363761724398,2,06467,41.567845,-72.899757
H16388,1992-08-23,false,2464.0512676263947,Single Family,260.2162877324175,5,88.09982123886365,1837.945240264008,3,06002,41.84493,-72.740951
H16394,1997-08-16,true,2476.5966811969297,Apartments,513.1547686966578,4,133.71061921618946,1343.3513455272473,2,11103,40.762574,-73.913447
H16402,2009-06-01,false,2477.632781910528,Apartments,469.23670420419353,3,106.48841460142829,875.4223726739024,0,02126,42.274227,-71.097423
H16406,2008-11-06,false,2490.9674084294925,Apartments,399.58547834530555,4,39.44519157990774,1484.746745101625,2,06479,41.57477,-72.9119
H16410,1994-01-07,false,2454.121772981925,Single Family,344.4928102035324,6,92.6979563482989,2358.355037112414,3,02128,42.361129,-71.006975
H16417,2012-12-03,false,2477.1255949708884,Single Family,629.8550238400196,5,125.58985753642511,1960.0766274705456,2,02126,42.274227,-71.097423
H16424,2007-05-30,true,2453.502846696715,Apartments,201.2553564864041,3,116.77489316626,713.5664322147915,4,11103,40.762574,-73.913447
H16425,2007-04-12,false,2468.1288100291144,Single Family,350.8801142900818,4,69.22943391503429,1667.2779955442456,4,06001,41.787159,-72.852046
H16431,1991-09-12,false,2480.306526439556,Apartments,588.6967740812554,4,149.1320080614239,1335.5983653406843,1,07093,40.788079,-74.011357
H16440,2014-07-12,false,2473.658453478883,Apartments,411.3902656217721,4,74.01627253052146,1396.4814905041321,0,11103,40.762574,-73.913447
H16445,1995-03-19,false,2469.51790359347,Apartments,278.88696698435683,3,84.73175137477534,808.1633931170761,1,19104,39.95852,-75.198857
H16447,2004-01-23,false,2478.110229842372,Single Family,372.3201292388578,5,58.24185616465907,2036.6622790678125,1,11103,40.762574,-73.913447
H16449,1996-11-13,false,2480.8564602546667,Apartments,562.6095366932534,4,138.68814812903042,1444.5475141545567,4,06479,41.57477,-72.9119
H16450,2016-09-01,false,2490.919243855748,Apartments,518.0100218570902,3,113.32557211381776,899.3413985373085,2,06479,41.57477,-72.9119
H16454,2010-08-27,false,2473.870042438729,Apartments,742.2278007451181,4,152.13873138204607,1544.41421797174,1,07087,40.767383,-74.032328
H16463,1997-06-16,false,2465.0765119622824,Single Family,391.6792921847309,4,144.20321177627812,1691.9081161939166,2,02127,42.334992,-71.039093
H16472,1995-10-25,false,2448.3430828846954,Apartments,791.9159763584138,3,127.11071373026168,1041.1042819543954,3,06002,41.84493,-72.740951
H16478,1997-07-09,false,2480.800308394698,Single Family,683.4430977517573,5,149.20872234225462,1975.1762620380937,3,11214,40.599148,-73.99609
H16485,2005-09-25,false,2476.933938323722,Single Family,714.1806290141552,6,114.34130901528988,2460.049012322602,1,07608,40.852997,-74.060355
H16488,2003-08-15,true,2493.5145514473684,Single Family,243.42262856154758,7,150.15921119159407,2927.901320613916,3,07620,40.968725,-73.916999
H16491,2007-03-09,false,2468.7929206809276,Apartments,750.6489197617326,3,39.0257506453383,1178.5938831519748,0,19102,39.952783,-75.165586
H16498,2017-03-12,false,2469.2008199876554,Single Family,790.2398338635915,6,49.55515992923114,2583.6710877262462,4,02126,42.274227,-71.097423
H16501,2010-02-21,false,2449.3918238867773,Single Family,710.9663497757742,5,37.06364507639978,2088.475957254344,1,07087,40.767383,-74.032328
H16502,2007-06-03,false,2480.5555953936514,Single Family,267.9593572506575,7,133.18909728308597,2979.944866238381,2,11213,40.671078,-73.936336
H16503,1991-02-08,false,2475.076086583247,Apartments,518.4019483357708,4,176.00129665322967,1584.874696737472,1,06002,41.84493,-72.740951
H16512,1989-02-22,false,2473.707982254999,Apartments,427.73567534597004,2,47.37764473993589,638.2438592283904,3,19104,39.95852,-75.198857
H16515,2009-06-02,false,2476.7059356169493,Single Family,513.4323171238643,5,135.86141029930673,2100.6603610384354,2,19104,39.95852,-75.198857
H16519,1989-07-03,false,2475.084177536874,Single Family,184.5192382066711,6,38.36949916321035,2585.3795570324173,2,07620,40.968725,-73.916999
H16528,1992-11-08,false,2463.686245424519,Apartments,394.39798513975336,2,169.88957485729648,458.8475216533995,4,19103,39.952896,-75.174298
H16536,2008-08-23,false,2477.314217535833,Single Family,345.969886108359,4,64.87717828248199,1706.0265748320892,0,11213,40.671078,-73.936336
H16539,2008-07-28,false,2462.181015353209,Apartments,383.9820991876126,3,118.79752300524554,732.8122611557894,2,19102,39.952783,-75.165586
H16542,1997-06-29,true,2462.60078290116,Apartments,294.6022129244496,3,136.7906911520646,823.3731177074833,4,11104,40.744634,-73.920201
H16550,2005-01-12,false,2480.3143812507797,Single Family,239.13917603411005,7,160.8548299251362,2787.381696186534,0,19103,39.952896,-75.174298
H16557,2018-08-23,false,2485.0115796802656,Single Family,413.3514431818621,7,79.87918694071168,2919.5931200688583,4,02129,42.379657,-71.061487
H16566,2011-09-10,false,2450.276070125892,Apartments,394.54145880004086,4,133.57323167432884,1369.1366149866008,1,06467,41.567845,-72.899757
H16568,2004-06-09,false,2468.274825794827,Apartments,472.4869390801975,4,127.1109044716966,1497.6293642659557,0,11103,40.762574,-73.913447
H16570,1999-02-15,false,2464.760343818625,Single Family,703.1570055668349,5,54.280785443180946,1843.198023606043,3,19103,39.952896,-75.174298
H16575,2007-08-21,false,2493.0282406570204,Apartments,446.72817709848215,3,76.32633003945023,1037.5233568625072,4,02126,42.274227,-71.097423
H16582,2000-12-23,true,2471.47830869282,Apartments,334.2231380278687,2,155.52770729234595,473.2668401728455,4,02126,42.274227,-71.097423
H16591,2008-07-25,false,2467.9005459555506,Single Family,302.72643502209866,6,156.60400988411965,2560.1175539242254,3,02128,42.361129,-71.006975
H16597,2001-08-17,false,2471.115370588976,Single Family,551.332126371036,5,77.57279155336462,2000.9560103658591,4,06467,41.567845,-72.899757
H16602,2010-12-26,false,2468.2343891968167,Single Family,734.7858005994243,5,164.2485835190806,1970.3363914028698,1,06479,41.57477,-72.9119
